"","car","retail","trade","private","trim","condition","mileage","error","year","make","model"
"1","2009 FORD F150 SUPERCREW","$14,370","$9,590","$11,340","PLATINUM","Good","134,929","NA","2009","FORD","F150 SUPERCREW"
"2","2009 FORD FOCUS SE","NA","NA","NA","NA","NA","NA","2009 FORD FOCUS SE","2009","FORD","FOCUS SE"
"3","2008 CADILLAC ESCALADE ESV","$20,620","$16,360","$18,230","BASE","Good","59,990","NA","2008","CADILLAC","ESCALADE ESV"
"4","2009 KIA SPECTRA EX/LX/SX","$4,590","$1,850","$3,800","EX","Good","81,685","NA","2009","KIA","SPECTRA EX/LX/SX"
"5","2013 CHEVROLET SILVERADO K3500 LT","$32,330","$27,120","$31,270","LT","Good","73,070","NA","2013","CHEVROLET","SILVERADO K3500 LT"
"6","2012 CHEVROLET CAMARO LT","$14,050","$10,210","$12,520","LT","Good","51,396","NA","2012","CHEVROLET","CAMARO LT"
"7","2011 HONDA CR-Z EX","$8,390","$4,410","$7,390","EX","Good","47,906","NA","2011","HONDA","CR-Z EX"
"8","2012 HONDA PILOT EX","$8,590","$4,840","$6,270","EX","Good","146,132","NA","2012","HONDA","PILOT EX"
"9","2013 HONDA ACCORD LX","NA","NA","NA","NA","NA","NA","2013 HONDA ACCORD LX","2013","HONDA","ACCORD LX"
"10","2012 HONDA FIT","NA","NA","NA","NA","NA","NA","2012 HONDA FIT","2012","HONDA","FIT"
"11","2008 NISSAN TITAN XE/SE/LE/PRO-4X","$11,700","$7,350","$9,210","SE FFV","Good","129,717","NA","2008","NISSAN","TITAN XE/SE/LE/PRO-4X"
"12","2010 SUBARU FORESTER 2.5X","$9,230","$5,470","$8,420","2.5X","Good","83,529","NA","2010","SUBARU","FORESTER 2.5X"
"13","2012 HONDA ODYSSEY TOUR/TOUR ELITE","NA","NA","NA","NA","NA","NA","2012 HONDA ODYSSEY TOUR/TOUR ELITE","2012","HONDA","ODYSSEY TOUR/TOUR ELITE"
"14","2010 CADILLAC ESCALADE PREMIUM","$8,720","$5,510","$5,870","PREMIUM","Good","217,068","NA","2010","CADILLAC","ESCALADE PREMIUM"
"15","2009 TOYOTA VENZA","$10,600","$6,590","$9,360","AWD V6","Good","106,466","NA","2009","TOYOTA","VENZA"
"16","2008 JEEP WRANGLER X","$13,010","$9,310","$10,630","X","Good","86,972","NA","2008","JEEP","WRANGLER X"
"17","2013 CHEVROLET SONIC LTZ","NA","NA","NA","NA","NA","NA","2013 CHEVROLET SONIC LTZ","2013","CHEVROLET","SONIC LTZ"
"18","2009 FORD FOCUS SES","$3,890","$1,360","$3,000","SES","Good","115,141","NA","2009","FORD","FOCUS SES"
"19","2003 MITSUBISHI LANCER EVOLUTION","$17,010","$10,540","$15,800","BASE","Good","121,203","NA","2003","MITSUBISHI","LANCER EVOLUTION"
"20","2009 ACURA TL","$9,100","$5,320","$7,810","W/TECH","Good","103,535","NA","2009","ACURA","TL"
"21","1999 GMC DENALI","NA","NA","NA","NA","NA","NA","1999 GMC DENALI","1999","GMC","DENALI"
"22","2013 SCION FR-S","$12,190","$8,310","$10,960","BASE","Good","57,384","NA","2013","SCION","FR-S"
"23","2009 VOLKSWAGEN NEW BEETLE S/SE","$6,030","$2,860","$5,110","BASE","Good","90,752","NA","2009","VOLKSWAGEN","NEW BEETLE S/SE"
"24","2000 MITSUBISHI MIRAGE DE","$830","$170","$310","DE","Good","256,415","NA","2000","MITSUBISHI","MIRAGE DE"
"25","2013 DODGE DURANGO CREW","$20,250","$17,030","$18,380","CREW","Good","75,309","NA","2013","DODGE","DURANGO CREW"
"26","2011 HYUNDAI ACCENT GL","$3,040","$920","$1,860","GS","Good","110,058","NA","2011","HYUNDAI","ACCENT GL"
"27","2010 SUBARU OUTBACK 3.6R","$9,310","$5,530","$8,260","3.6R","Good","100,702","NA","2010","SUBARU","OUTBACK 3.6R"
"28","2006 DODGE MAGNUM R/T","$5,830","$2,660","$4,560","RT","Good","109,658","NA","2006","DODGE","MAGNUM R/T"
"29","2009 NISSAN TITAN XE/SE/LE/PRO-4X","$12,350","$7,890","$9,750","SE","Good","138,012","NA","2009","NISSAN","TITAN XE/SE/LE/PRO-4X"
"30","2012 JEEP PATRIOT LATITUDE","$9,200","$5,760","$7,010","LATITUDE","Good","84,983","NA","2012","JEEP","PATRIOT LATITUDE"
"31","2007 CHEVROLET SILVERADO K1500 CREW CAB","$11,280","$7,000","$8,250","LT1","Good","158,086","NA","2007","CHEVROLET","SILVERADO K1500 CREW CAB"
"32","2011 HYUNDAI ELANTRA GLS/LIMITED","$7,330","$4,060","$6,470","GLS","Good","56,218","NA","2011","HYUNDAI","ELANTRA GLS/LIMITED"
"33","2007 MAZDA MAZDA6I","$2,900","$590","$1,850","I SPORT VALUE EDITION","Good","108,403","NA","2007","MAZDA","MAZDA6I"
"34","2002 JEEP LIBERTY SPORT","$2,040","$220","$510","SPORT","Good","173,686","NA","2002","JEEP","LIBERTY SPORT"
"35","2013 VOLVO XC60 3.2","NA","NA","NA","NA","NA","NA","2013 VOLVO XC60 3.2","2013","VOLVO","XC60 3.2"
"36","2007 NISSAN ALTIMA 2.5/2.5 S","NA","NA","NA","NA","NA","NA","2007 NISSAN ALTIMA 2.5/2.5 S","2007","NISSAN","ALTIMA 2.5/2.5 S"
"37","2010 TOYOTA HIGHLANDER","$8,170","$4,670","$6,960","BASE","Good","85,798","NA","2010","TOYOTA","HIGHLANDER"
"38","2014 FORD EXPLORER XLT","$18,830","$15,630","$17,310","XLT","Good","55,459","NA","2014","FORD","EXPLORER XLT"
"39","2009 LEXUS IS 250","NA","NA","NA","NA","NA","NA","2009 LEXUS IS 250","2009","LEXUS","IS 250"
"40","2010 VOLVO XC90 3.2","NA","NA","NA","NA","NA","NA","2010 VOLVO XC90 3.2","2010","VOLVO","XC90 3.2"
"41","2012 RAM 1500 LARAMIE","NA","NA","NA","NA","NA","NA","2012 RAM 1500 LARAMIE","2012","RAM","1500 LARAMIE"
"42","2014 CHEVROLET IMPALA LTZ","NA","NA","NA","NA","NA","NA","2014 CHEVROLET IMPALA LTZ","2014","CHEVROLET","IMPALA LTZ"
"43","2007 DODGE CALIBER SXT","NA","NA","NA","NA","NA","NA","2007 DODGE CALIBER SXT","2007","DODGE","CALIBER SXT"
"44","2003 MAZDA TRIBUTE LX","NA","NA","NA","NA","NA","NA","2003 MAZDA TRIBUTE LX","2003","MAZDA","TRIBUTE LX"
"45","2005 PONTIAC GTO","$9,770","$6,060","$8,520","BASE","Good","134,741","NA","2005","PONTIAC","GTO"
"46","2013 KIA FORTE EX","NA","NA","NA","NA","NA","NA","2013 KIA FORTE EX","2013","KIA","FORTE EX"
"47","2009 NISSAN CUBE BASE/S/SL","$2,520","$250","$1,480","1.8 S","Good","139,049","NA","2009","NISSAN","CUBE BASE/S/SL"
"48","2013 RAM 1500 SLT","NA","NA","NA","NA","NA","NA","2013 RAM 1500 SLT","2013","RAM","1500 SLT"
"49","2013 VOLKSWAGEN TIGUAN S/SE/SEL","$10,440","$6,970","$8,430","S","Good","68,649","NA","2013","VOLKSWAGEN","TIGUAN S/SE/SEL"
"50","2007 TOYOTA 4RUNNER LTD","$11,050","$7,000","$10,250","LIMITED","Good","139,544","NA","2007","TOYOTA","4RUNNER LTD"
"51","2013 TOYOTA SIENNA XLE/LIMITED","$20,430","$16,610","$19,210","LIMITED 7-PASSENGER","Good","64,225","NA","2013","TOYOTA","SIENNA XLE/LIMITED"
"52","1998 FORD F150","NA","NA","NA","NA","NA","NA","1998 FORD F150","1998","FORD","F150"
"53","2007 JAGUAR XK","$10,450","$6,020","$8,840","XK","Good","134,500","NA","2007","JAGUAR","XK"
"54","2013 RAM 2500 SLT","$35,700","$30,550","$34,730","SLT","Good","45,302","NA","2013","RAM","2500 SLT"
"55","2008 CHEVROLET COLORADO LT","$8,290","$4,630","$7,140","LT","Good","151,358","NA","2008","CHEVROLET","COLORADO LT"
"56","2008 HONDA CR-V EX","$7,590","$4,180","$6,380","EX","Good","117,383","NA","2008","HONDA","CR-V EX"
"57","2009 CADILLAC CTS","NA","NA","NA","NA","NA","NA","2009 CADILLAC CTS","2009","CADILLAC","CTS"
"58","2012 TOYOTA COROLLA BASE/S/LE","$8,660","$5,140","$7,820","L","Good","62,320","NA","2012","TOYOTA","COROLLA BASE/S/LE"
"59","2012 DODGE GRAND CARAVAN SXT","$6,470","$3,090","$5,240","SXT","Good","109,347","NA","2012","DODGE","GRAND CARAVAN SXT"
"60","2014 SUBARU OUTBACK 2.5I LIMITED","$18,980","$15,090","$17,690","2.5I LIMITED","Good","34,520","NA","2014","SUBARU","OUTBACK 2.5I LIMITED"
"61","2007 NISSAN ALTIMA 2.5/2.5 S","NA","NA","NA","NA","NA","NA","2007 NISSAN ALTIMA 2.5/2.5 S","2007","NISSAN","ALTIMA 2.5/2.5 S"
"62","2011 TOYOTA RAV4","$9,980","$6,500","$7,650","BASE","Good","107,617","NA","2011","TOYOTA","RAV4"
"63","2014 TOYOTA SIENNA XLE/LIMITED","$21,770","$17,910","$20,660","LIMITED 7-PASSENGER","Good","66,120","NA","2014","TOYOTA","SIENNA XLE/LIMITED"
"64","2012 TOYOTA COROLLA BASE/S/LE","NA","NA","NA","NA","NA","NA","2012 TOYOTA COROLLA BASE/S/LE","2012","TOYOTA","COROLLA BASE/S/LE"
